state,day,count
New South Wales,Monday,"1,921.2"
New South Wales,Tuesday,"1,920.7"
New South Wales,Wednesday,"2,102.4"
New South Wales,Thursday,"2,024.5"
New South Wales,Friday,"2,019.8"
New South Wales,Saturday,"2,554.9"
New South Wales,Sunday,"2,300.9"
Victoria,Monday,"1,614.8"
Victoria,Tuesday,"1,726.5"
Victoria,Wednesday,"1,682.6"
Victoria,Thursday,"1,702.4"
Victoria,Friday,"1,709.7"
Victoria,Saturday,"1,969.8"
Victoria,Sunday,"1,819.2"
Queensland,Monday,"1,173.9"
Queensland,Tuesday,"1,305.2"
Queensland,Wednesday,"1,307.9"
Queensland,Thursday,"1,305.3"
Queensland,Friday,"1,298.9"
Queensland,Saturday,"1,520.9"
Queensland,Sunday,"1,429.1"
South Australia,Monday,487.6
South Australia,Tuesday,504.2
South Australia,Wednesday,534.4
South Australia,Thursday,524.9
South Australia,Friday,538.3
South Australia,Saturday,580.9
South Australia,Sunday,552.7
Western Australia,Monday,588.4
Western Australia,Tuesday,672.1
Western Australia,Wednesday,710.9
Western Australia,Thursday,684.2
Western Australia,Friday,693.6
Western Australia,Saturday,880.6
Western Australia,Sunday,820.3
Tasmania,Monday,213.8
Tasmania,Tuesday,221.2
Tasmania,Wednesday,222.9
Tasmania,Thursday,217.2
Tasmania,Friday,225.1
Tasmania,Saturday,252.5
Tasmania,Sunday,236.8
Northern Territory,Monday,40.4
Northern Territory,Tuesday,50.2
Northern Territory,Wednesday,45.1
Northern Territory,Thursday,53.5
Northern Territory,Friday,45.1
Northern Territory,Saturday,55.2
Northern Territory,Sunday,44.3
Australian Capital Territory,Monday,124.5
Australian Capital Territory,Tuesday,142.5
Australian Capital Territory,Wednesday,149.2
Australian Capital Territory,Thursday,154.0
Australian Capital Territory,Friday,149.7
Australian Capital Territory,Saturday,181.3
Australian Capital Territory,Sunday,183.0
